dataset,field,type,nullable,unit,definition_pt,definition_en,interpretation,source,caveat
health_regions_current,mental_health_beds_sus_count,int64,False,documented_in_data_dictionary,Leitos SUS registrados sob a definição travada; zero não prova ausência de oferta.,SUS beds registered under the locked definition; zero does not prove no supply.,"Territorial intelligence, not prevalence, direct access, quality, or unmet need.",MDB_ANALYTICAL_2024_2,"Territorial intelligence, not prevalence, direct access, quality, or unmet need."
health_regions_current,mental_health_beds_sus_rate,float64,False,documented_in_data_dictionary,Mental health beds sus rate.,Mental health beds sus rate.,"Territorial intelligence, not prevalence, direct access, quality, or unmet need.",MDB_ANALYTICAL_2024_2,"Territorial intelligence, not prevalence, direct access, quality, or unmet need."
health_regions_current,beds_percentile,float64,False,documented_in_data_dictionary,Beds percentile.,Beds percentile.,"Territorial intelligence, not prevalence, direct access, quality, or unmet need.",MDB_ANALYTICAL_2024_2,"Territorial intelligence, not prevalence, direct access, quality, or unmet need."
health_regions_current,psychiatrist_fte,float64,False,documented_in_data_dictionary,Psychiatrist fte.,Psychiatrist fte.,"Territorial intelligence, not prevalence, direct access, quality, or unmet need.",MDB_ANALYTICAL_2024_2,"Territorial intelligence, not prevalence, direct access, quality, or unmet need."
health_regions_current,psychiatrist_fte_rate,float64,False,documented_in_data_dictionary,Psychiatrist fte rate.,Psychiatrist fte rate.,"Territorial intelligence, not prevalence, direct access, quality, or unmet need.",MDB_ANALYTICAL_2024_2,"Territorial intelligence, not prevalence, direct access, quality, or unmet need."
health_regions_current,psychiatrist_fte_percentile,float64,False,documented_in_data_dictionary,Psychiatrist fte percentile.,Psychiatrist fte percentile.,"Territorial intelligence, not prevalence, direct access, quality, or unmet need.",MDB_ANALYTICAL_2024_2,"Territorial intelligence, not prevalence, direct access, quality, or unmet need."
health_regions_current,need_score,float64,False,documented_in_data_dictionary,Escore relativo de necessidade medida; não representa prevalência.,Relative measured-need score; it is not prevalence.,"Territorial intelligence, not prevalence, direct access, quality, or unmet need.",MDB_ANALYTICAL_2024_2,"Territorial intelligence, not prevalence, direct access, quality, or unmet need."
health_regions_current,capacity_score,float64,False,documented_in_data_dictionary,Escore relativo de capacidade registrada no setor público.,Relative registered public-sector capacity score.,"Territorial intelligence, not prevalence, direct access, quality, or unmet need.",MDB_ANALYTICAL_2024_2,"Territorial intelligence, not prevalence, direct access, quality, or unmet need."
health_regions_current,mismatch_score,float64,False,documented_in_data_dictionary,Sinal de desalinhamento territorial relativo entre necessidade medida e capacidade registrada.,Relative territorial misalignment signal between measured need and registered capacity.,"Territorial intelligence, not prevalence, direct access, quality, or unmet need.",MDB_ANALYTICAL_2024_2,"Territorial intelligence, not prevalence, direct access, quality, or unmet need."
health_regions_current,lisa_local_i,float64,False,documented_in_data_dictionary,Lisa local i.,Lisa local i.,"Territorial intelligence, not prevalence, direct access, quality, or unmet need.",MDB_ANALYTICAL_2024_2,"Territorial intelligence, not prevalence, direct access, quality, or unmet need."
health_regions_current,lisa_p,float64,False,documented_in_data_dictionary,Lisa p.,Lisa p.,"Territorial intelligence, not prevalence, direct access, quality, or unmet need.",MDB_ANALYTICAL_2024_2,"Territorial intelligence, not prevalence, direct access, quality, or unmet need."
health_regions_current,lisa_q,float64,False,documented_in_data_dictionary,Lisa q.,Lisa q.,"Territorial intelligence, not prevalence, direct access, quality, or unmet need.",MDB_ANALYTICAL_2024_2,"Territorial intelligence, not prevalence, direct access, quality, or unmet need."
health_regions_current,lisa_significant,bool,False,documented_in_data_dictionary,Lisa significant.,Lisa significant.,"Territorial intelligence, not prevalence, direct access, quality, or unmet need.",MDB_ANALYTICAL_2024_2,"Territorial intelligence, not prevalence, direct access, quality, or unmet need."
health_regions_current,lisa_cluster,str,False,documented_in_data_dictionary,Classe LISA local; HH não equivale a hotspot de doença.,Local LISA class; HH is not equivalent to a disease hotspot.,"Territorial intelligence, not prevalence, direct access, quality, or unmet need.",MDB_ANALYTICAL_2024_2,"Territorial intelligence, not prevalence, direct access, quality, or unmet need."
health_regions_current,data_quality_flags,str,False,documented_in_data_dictionary,Data quality flags.,Data quality flags.,"Territorial intelligence, not prevalence, direct access, quality, or unmet need.",MDB_ANALYTICAL_2024_2,"Territorial intelligence, not prevalence, direct access, quality, or unmet need."
health_region_temporal,health_region_code,str,False,documented_in_data_dictionary,Health region code.,Health region code.,Anchored descriptive comparisons; no causal or real-time interpretation.,MDB_ANALYTICAL_2024_2,Anchored descriptive comparisons; no causal or real-time interpretation.
health_region_temporal,health_region_name,str,False,documented_in_data_dictionary,Health region name.,Health region name.,Anchored descriptive comparisons; no causal or real-time interpretation.,MDB_ANALYTICAL_2024_2,Anchored descriptive comparisons; no causal or real-time interpretation.
health_region_temporal,uf,str,False,documented_in_data_dictionary,Uf.,Uf.,Anchored descriptive comparisons; no causal or real-time interpretation.,MDB_ANALYTICAL_2024_2,Anchored descriptive comparisons; no causal or real-time interpretation.
health_region_temporal,geography_version,str,False,documented_in_data_dictionary,Geography version.,Geography version.,Anchored descriptive comparisons; no causal or real-time interpretation.,MDB_ANALYTICAL_2024_2,Anchored descriptive comparisons; no causal or real-time interpretation.
health_region_temporal,population,int64,False,documented_in_data_dictionary,Population.,Population.,Anchored descriptive comparisons; no causal or real-time interpretation.,MDB_ANALYTICAL_2024_2,Anchored descriptive comparisons; no causal or real-time interpretation.
health_region_temporal,person_years,int64,False,documented_in_data_dictionary,Person years.,Person years.,Anchored descriptive comparisons; no causal or real-time interpretation.,MDB_ANALYTICAL_2024_2,Anchored descriptive comparisons; no causal or real-time interpretation.
health_region_temporal,suicide_asmr,float64,False,documented_in_data_dictionary,Taxa de mortalidade por suicídio padronizada por idade.,Age-standardized suicide mortality rate.,Anchored descriptive comparisons; no causal or real-time interpretation.,MDB_ANALYTICAL_2024_2,Anchored descriptive comparisons; no causal or real-time interpretation.
health_region_temporal,psychiatric_admissions,int64,False,documented_in_data_dictionary,Psychiatric admissions.,Psychiatric admissions.,Anchored descriptive comparisons; no causal or real-time interpretation.,MDB_ANALYTICAL_2024_2,Anchored descriptive comparisons; no causal or real-time interpretation.
health_region_temporal,psychiatric_admission_rate,float64,False,documented_in_data_dictionary,Taxa de AIHs/internações psiquiátricas; não representa pacientes únicos.,Psychiatric AIH/admission rate; it does not represent unique patients.,Anchored descriptive comparisons; no causal or real-time interpretation.,MDB_ANALYTICAL_2024_2,Anchored descriptive comparisons; no causal or real-time interpretation.
health_region_temporal,caps_count,int64,False,documented_in_data_dictionary,Caps count.,Caps count.,Anchored descriptive comparisons; no causal or real-time interpretation.,MDB_ANALYTICAL_2024_2,Anchored descriptive comparisons; no causal or real-time interpretation.
health_region_temporal,mental_health_beds_sus_count,int64,False,documented_in_data_dictionary,Leitos SUS registrados sob a definição travada; zero não prova ausência de oferta.,SUS beds registered under the locked definition; zero does not prove no supply.,Anchored descriptive comparisons; no causal or real-time interpretation.,MDB_ANALYTICAL_2024_2,Anchored descriptive comparisons; no causal or real-time interpretation.
health_region_temporal,psychiatrist_fte,float64,False,documented_in_data_dictionary,Psychiatrist fte.,Psychiatrist fte.,Anchored descriptive comparisons; no causal or real-time interpretation.,MDB_ANALYTICAL_2024_2,Anchored descriptive comparisons; no causal or real-time interpretation.
health_region_temporal,caps_rate,float64,False,documented_in_data_dictionary,Caps rate.,Caps rate.,Anchored descriptive comparisons; no causal or real-time interpretation.,MDB_ANALYTICAL_2024_2,Anchored descriptive comparisons; no causal or real-time interpretation.
health_region_temporal,mental_health_beds_sus_rate,float64,False,documented_in_data_dictionary,Mental health beds sus rate.,Mental health beds sus rate.,Anchored descriptive comparisons; no causal or real-time interpretation.,MDB_ANALYTICAL_2024_2,Anchored descriptive comparisons; no causal or real-time interpretation.
health_region_temporal,psychiatrist_fte_rate,float64,False,documented_in_data_dictionary,Psychiatrist fte rate.,Psychiatrist fte rate.,Anchored descriptive comparisons; no causal or real-time interpretation.,MDB_ANALYTICAL_2024_2,Anchored descriptive comparisons; no causal or real-time interpretation.
health_region_temporal,suicide_percentile,float64,False,documented_in_data_dictionary,Suicide percentile.,Suicide percentile.,Anchored descriptive comparisons; no causal or real-time interpretation.,MDB_ANALYTICAL_2024_2,Anchored descriptive comparisons; no causal or real-time interpretation.
health_region_temporal,psychiatric_admission_percentile,float64,False,documented_in_data_dictionary,Psychiatric admission percentile.,Psychiatric admission percentile.,Anchored descriptive comparisons; no causal or real-time interpretation.,MDB_ANALYTICAL_2024_2,Anchored descriptive comparisons; no causal or real-time interpretation.
health_region_temporal,caps_percentile,float64,False,documented_in_data_dictionary,Caps percentile.,Caps percentile.,Anchored descriptive comparisons; no causal or real-time interpretation.,MDB_ANALYTICAL_2024_2,Anchored descriptive comparisons; no causal or real-time interpretation.
health_region_temporal,beds_percentile,float64,False,documented_in_data_dictionary,Beds percentile.,Beds percentile.,Anchored descriptive comparisons; no causal or real-time interpretation.,MDB_ANALYTICAL_2024_2,Anchored descriptive comparisons; no causal or real-time interpretation.
health_region_temporal,psychiatrist_fte_percentile,float64,False,documented_in_data_dictionary,Psychiatrist fte percentile.,Psychiatrist fte percentile.,Anchored descriptive comparisons; no causal or real-time interpretation.,MDB_ANALYTICAL_2024_2,Anchored descriptive comparisons; no causal or real-time interpretation.
health_region_temporal,need_score,float64,False,documented_in_data_dictionary,Escore relativo de necessidade medida; não representa prevalência.,Relative measured-need score; it is not prevalence.,Anchored descriptive comparisons; no causal or real-time interpretation.,MDB_ANALYTICAL_2024_2,Anchored descriptive comparisons; no causal or real-time interpretation.
health_region_temporal,capacity_score,float64,False,documented_in_data_dictionary,Escore relativo de capacidade registrada no setor público.,Relative registered public-sector capacity score.,Anchored descriptive comparisons; no causal or real-time interpretation.,MDB_ANALYTICAL_2024_2,Anchored descriptive comparisons; no causal or real-time interpretation.
health_region_temporal,mismatch_score,float64,False,documented_in_data_dictionary,Sinal de desalinhamento territorial relativo entre necessidade medida e capacidade registrada.,Relative territorial misalignment signal between measured need and registered capacity.,Anchored descriptive comparisons; no causal or real-time interpretation.,MDB_ANALYTICAL_2024_2,Anchored descriptive comparisons; no causal or real-time interpretation.
health_region_temporal,year,int64,False,documented_in_data_dictionary,Year.,Year.,Anchored descriptive comparisons; no causal or real-time interpretation.,MDB_ANALYTICAL_2024_2,Anchored descriptive comparisons; no causal or real-time interpretation.
health_region_temporal,need_window_start,int64,False,documented_in_data_dictionary,Need window start.,Need window start.,Anchored descriptive comparisons; no causal or real-time interpretation.,MDB_ANALYTICAL_2024_2,Anchored descriptive comparisons; no causal or real-time interpretation.
health_region_temporal,need_window_end,int64,False,documented_in_data_dictionary,Need window end.,Need window end.,Anchored descriptive comparisons; no causal or real-time interpretation.,MDB_ANALYTICAL_2024_2,Anchored descriptive comparisons; no causal or real-time interpretation.
health_region_temporal,capacity_competence,str,False,documented_in_data_dictionary,Capacity competence.,Capacity competence.,Anchored descriptive comparisons; no causal or real-time interpretation.,MDB_ANALYTICAL_2024_2,Anchored descriptive comparisons; no causal or real-time interpretation.
health_region_temporal,temporal_version,str,False,documented_in_data_dictionary,Temporal version.,Temporal version.,Anchored descriptive comparisons; no causal or real-time interpretation.,MDB_ANALYTICAL_2024_2,Anchored descriptive comparisons; no causal or real-time interpretation.
health_region_temporal,release_id,str,False,documented_in_data_dictionary,Release id.,Release id.,Anchored descriptive comparisons; no causal or real-time interpretation.,MDB_ANALYTICAL_2024_2,Anchored descriptive comparisons; no causal or real-time interpretation.
health_region_temporal,quality_flags,str,False,documented_in_data_dictionary,Quality flags.,Quality flags.,Anchored descriptive comparisons; no causal or real-time interpretation.,MDB_ANALYTICAL_2024_2,Anchored descriptive comparisons; no causal or real-time interpretation.
health_region_changes,health_region_code,str,False,documented_in_data_dictionary,Health region code.,Health region code.,Position-change signals; not improvement or deterioration labels.,MDB_ANALYTICAL_2024_2,Position-change signals; not improvement or deterioration labels.
health_region_changes,delta_need_score,float64,False,documented_in_data_dictionary,Delta need score.,Delta need score.,Position-change signals; not improvement or deterioration labels.,MDB_ANALYTICAL_2024_2,Position-change signals; not improvement or deterioration labels.
health_region_changes,delta_capacity_score,float64,False,documented_in_data_dictionary,Delta capacity score.,Delta capacity score.,Position-change signals; not improvement or deterioration labels.,MDB_ANALYTICAL_2024_2,Position-change signals; not improvement or deterioration labels.
health_region_changes,delta_mismatch_score,float64,False,documented_in_data_dictionary,Delta mismatch score.,Delta mismatch score.,Position-change signals; not improvement or deterioration labels.,MDB_ANALYTICAL_2024_2,Position-change signals; not improvement or deterioration labels.
health_region_changes,delta_suicide_percentile,float64,False,documented_in_data_dictionary,Delta suicide percentile.,Delta suicide percentile.,Position-change signals; not improvement or deterioration labels.,MDB_ANALYTICAL_2024_2,Position-change signals; not improvement or deterioration labels.
health_region_changes,delta_psychiatric_admission_percentile,float64,False,documented_in_data_dictionary,Delta psychiatric admission percentile.,Delta psychiatric admission percentile.,Position-change signals; not improvement or deterioration labels.,MDB_ANALYTICAL_2024_2,Position-change signals; not improvement or deterioration labels.
health_region_changes,delta_caps_percentile,float64,False,documented_in_data_dictionary,Delta caps percentile.,Delta caps percentile.,Position-change signals; not improvement or deterioration labels.,MDB_ANALYTICAL_2024_2,Position-change signals; not improvement or deterioration labels.
health_region_changes,delta_beds_percentile,float64,False,documented_in_data_dictionary,Delta beds percentile.,Delta beds percentile.,Position-change signals; not improvement or deterioration labels.,MDB_ANALYTICAL_2024_2,Position-change signals; not improvement or deterioration labels.
health_region_changes,delta_psychiatrist_fte_percentile,float64,False,documented_in_data_dictionary,Delta psychiatrist fte percentile.,Delta psychiatrist fte percentile.,Position-change signals; not improvement or deterioration labels.,MDB_ANALYTICAL_2024_2,Position-change signals; not improvement or deterioration labels.
health_region_changes,NEED_POSITION_UP,bool,False,documented_in_data_dictionary,Need position up.,Need position up.,Position-change signals; not improvement or deterioration labels.,MDB_ANALYTICAL_2024_2,Position-change signals; not improvement or deterioration labels.
health_region_changes,CAPACITY_POSITION_DOWN,bool,False,documented_in_data_dictionary,Capacity position down.,Capacity position down.,Position-change signals; not improvement or deterioration labels.,MDB_ANALYTICAL_2024_2,Position-change signals; not improvement or deterioration labels.
health_region_changes,MISMATCH_POSITION_UP,bool,False,documented_in_data_dictionary,Mismatch position up.,Mismatch position up.,Position-change signals; not improvement or deterioration labels.,MDB_ANALYTICAL_2024_2,Position-change signals; not improvement or deterioration labels.
health_region_changes,NEED_COMPONENT_POSITION_UP,bool,False,documented_in_data_dictionary,Need component position up.,Need component position up.,Position-change signals; not improvement or deterioration labels.,MDB_ANALYTICAL_2024_2,Position-change signals; not improvement or deterioration labels.
health_region_changes,CAPACITY_COMPONENT_POSITION_DOWN,bool,False,documented_in_data_dictionary,Capacity component position down.,Capacity component position down.,Position-change signals; not improvement or deterioration labels.,MDB_ANALYTICAL_2024_2,Position-change signals; not improvement or deterioration labels.
health_region_changes,matched_change_families,int64,False,documented_in_data_dictionary,Matched change families.,Matched change families.,Position-change signals; not improvement or deterioration labels.,MDB_ANALYTICAL_2024_2,Position-change signals; not improvement or deterioration labels.
health_region_changes,from_year,int64,False,documented_in_data_dictionary,From year.,From year.,Position-change signals; not improvement or deterioration labels.,MDB_ANALYTICAL_2024_2,Position-change signals; not improvement or deterioration labels.
health_region_changes,to_year,int64,False,documented_in_data_dictionary,To year.,To year.,Position-change signals; not improvement or deterioration labels.,MDB_ANALYTICAL_2024_2,Position-change signals; not improvement or deterioration labels.
health_region_changes,change_version,str,False,documented_in_data_dictionary,Change version.,Change version.,Position-change signals; not improvement or deterioration labels.,MDB_ANALYTICAL_2024_2,Position-change signals; not improvement or deterioration labels.
health_region_financing,financing_version,str,False,documented_in_data_dictionary,Financing version.,Financing version.,"General health financing, not mental-health-specific spending; current BRL, not inflation-adjusted.",MDB_ANALYTICAL_2024_2,"General health financing, not mental-health-specific spending; current BRL, not inflation-adjusted."
health_region_financing,siops_snapshot_id,str,False,documented_in_data_dictionary,Siops snapshot id.,Siops snapshot id.,"General health financing, not mental-health-specific spending; current BRL, not inflation-adjusted.",MDB_ANALYTICAL_2024_2,"General health financing, not mental-health-specific spending; current BRL, not inflation-adjusted."
health_region_financing,year,int64,False,documented_in_data_dictionary,Year.,Year.,"General health financing, not mental-health-specific spending; current BRL, not inflation-adjusted.",MDB_ANALYTICAL_2024_2,"General health financing, not mental-health-specific spending; current BRL, not inflation-adjusted."
health_region_financing,health_region_code,str,False,documented_in_data_dictionary,Health region code.,Health region code.,"General health financing, not mental-health-specific spending; current BRL, not inflation-adjusted.",MDB_ANALYTICAL_2024_2,"General health financing, not mental-health-specific spending; current BRL, not inflation-adjusted."
health_region_financing,municipalities_expected,int64,False,documented_in_data_dictionary,Municipalities expected.,Municipalities expected.,"General health financing, not mental-health-specific spending; current BRL, not inflation-adjusted.",MDB_ANALYTICAL_2024_2,"General health financing, not mental-health-specific spending; current BRL, not inflation-adjusted."
health_region_financing,municipalities_observed,int64,False,documented_in_data_dictionary,Municipalities observed.,Municipalities observed.,"General health financing, not mental-health-specific spending; current BRL, not inflation-adjusted.",MDB_ANALYTICAL_2024_2,"General health financing, not mental-health-specific spending; current BRL, not inflation-adjusted."
health_region_financing,population_expected,int64,False,documented_in_data_dictionary,Population expected.,Population expected.,"General health financing, not mental-health-specific spending; current BRL, not inflation-adjusted.",MDB_ANALYTICAL_2024_2,"General health financing, not mental-health-specific spending; current BRL, not inflation-adjusted."
health_region_financing,population_covered,int64,False,documented_in_data_dictionary,Population covered.,Population covered.,"General health financing, not mental-health-specific spending; current BRL, not inflation-adjusted.",MDB_ANALYTICAL_2024_2,"General health financing, not mental-health-specific spending; current BRL, not inflation-adjusted."
health_region_financing,coverage_share,float64,False,documented_in_data_dictionary,Coverage share.,Coverage share.,"General health financing, not mental-health-specific spending; current BRL, not inflation-adjusted.",MDB_ANALYTICAL_2024_2,"General health financing, not mental-health-specific spending; current BRL, not inflation-adjusted."
health_region_financing,coverage_population_share,float64,False,documented_in_data_dictionary,Coverage population share.,Coverage population share.,"General health financing, not mental-health-specific spending; current BRL, not inflation-adjusted.",MDB_ANALYTICAL_2024_2,"General health financing, not mental-health-specific spending; current BRL, not inflation-adjusted."
health_region_financing,total_health_expenditure_brl,float64,True,documented_in_data_dictionary,Total health expenditure brl.,Total health expenditure brl.,"General health financing, not mental-health-specific spending; current BRL, not inflation-adjusted.",MDB_ANALYTICAL_2024_2,"General health financing, not mental-health-specific spending; current BRL, not inflation-adjusted."
health_region_financing,health_expenditure_per_capita_brl,float64,True,documented_in_data_dictionary,Health expenditure per capita brl.,Health expenditure per capita brl.,"General health financing, not mental-health-specific spending; current BRL, not inflation-adjusted.",MDB_ANALYTICAL_2024_2,"General health financing, not mental-health-specific spending; current BRL, not inflation-adjusted."
health_region_financing,headline_available,bool,False,documented_in_data_dictionary,Headline available.,Headline available.,"General health financing, not mental-health-specific spending; current BRL, not inflation-adjusted.",MDB_ANALYTICAL_2024_2,"General health financing, not mental-health-specific spending; current BRL, not inflation-adjusted."
health_region_financing,quality_flags,str,False,documented_in_data_dictionary,Quality flags.,Quality flags.,"General health financing, not mental-health-specific spending; current BRL, not inflation-adjusted.",MDB_ANALYTICAL_2024_2,"General health financing, not mental-health-specific spending; current BRL, not inflation-adjusted."
health_region_financing,source_period,str,False,documented_in_data_dictionary,Source period.,Source period.,"General health financing, not mental-health-specific spending; current BRL, not inflation-adjusted.",MDB_ANALYTICAL_2024_2,"General health financing, not mental-health-specific spending; current BRL, not inflation-adjusted."
health_region_financing,source_indicator,str,False,documented_in_data_dictionary,Source indicator.,Source indicator.,"General health financing, not mental-health-specific spending; current BRL, not inflation-adjusted.",MDB_ANALYTICAL_2024_2,"General health financing, not mental-health-specific spending; current BRL, not inflation-adjusted."
health_region_flow_summary,flow_version,str,False,documented_in_data_dictionary,Flow version.,Flow version.,AIHs/admissions are not unique patients.,MDB_ANALYTICAL_2024_2,AIHs/admissions are not unique patients.
health_region_flow_summary,health_region_code,str,False,documented_in_data_dictionary,Health region code.,Health region code.,AIHs/admissions are not unique patients.,MDB_ANALYTICAL_2024_2,AIHs/admissions are not unique patients.
health_region_flow_summary,total_admissions,int64,False,documented_in_data_dictionary,Total admissions.,Total admissions.,AIHs/admissions are not unique patients.,MDB_ANALYTICAL_2024_2,AIHs/admissions are not unique patients.
health_region_flow_summary,within_region_share,float64,True,documented_in_data_dictionary,Within region share.,Within region share.,AIHs/admissions are not unique patients.,MDB_ANALYTICAL_2024_2,AIHs/admissions are not unique patients.
health_region_flow_summary,outflow_share,float64,True,documented_in_data_dictionary,Outflow share.,Outflow share.,AIHs/admissions are not unique patients.,MDB_ANALYTICAL_2024_2,AIHs/admissions are not unique patients.
health_region_flow_summary,cross_state_outflow_share,float64,True,documented_in_data_dictionary,Cross state outflow share.,Cross state outflow share.,AIHs/admissions are not unique patients.,MDB_ANALYTICAL_2024_2,AIHs/admissions are not unique patients.
health_region_flow_summary,nonsuppressed_destinations,int64,False,documented_in_data_dictionary,Nonsuppressed destinations.,Nonsuppressed destinations.,AIHs/admissions are not unique patients.,MDB_ANALYTICAL_2024_2,AIHs/admissions are not unique patients.
health_region_flow_summary,unit,str,False,documented_in_data_dictionary,Unit.,Unit.,AIHs/admissions are not unique patients.,MDB_ANALYTICAL_2024_2,AIHs/admissions are not unique patients.
hospitalization_flows_public,origin_region,str,False,documented_in_data_dictionary,Origin region.,Origin region.,Only exact cells with admissions >=5; suppressed contributions are excluded.,MDB_ANALYTICAL_2024_2,Only exact cells with admissions >=5; suppressed contributions are excluded.
hospitalization_flows_public,destination_region,str,False,documented_in_data_dictionary,Destination region.,Destination region.,Only exact cells with admissions >=5; suppressed contributions are excluded.,MDB_ANALYTICAL_2024_2,Only exact cells with admissions >=5; suppressed contributions are excluded.
hospitalization_flows_public,admissions,int64,False,documented_in_data_dictionary,"AIHs/internações agregadas, com células menores que cinco excluídas.","Aggregated AIHs/admissions, with cells below five excluded.",Only exact cells with admissions >=5; suppressed contributions are excluded.,MDB_ANALYTICAL_2024_2,Only exact cells with admissions >=5; suppressed contributions are excluded.
hospitalization_flows_public,flow_version,str,False,documented_in_data_dictionary,Flow version.,Flow version.,Only exact cells with admissions >=5; suppressed contributions are excluded.,MDB_ANALYTICAL_2024_2,Only exact cells with admissions >=5; suppressed contributions are excluded.
hospitalization_flows_public,contribution_id,int64,False,documented_in_data_dictionary,Contribution id.,Contribution id.,Only exact cells with admissions >=5; suppressed contributions are excluded.,MDB_ANALYTICAL_2024_2,Only exact cells with admissions >=5; suppressed contributions are excluded.
municipality_health_region_crosswalk,municipality_code_ibge,str,False,documented_in_data_dictionary,Municipality code ibge.,Municipality code ibge.,Membership under fixed end-2024 health-region geography.,MDB_ANALYTICAL_2024_2,Membership under fixed end-2024 health-region geography.
municipality_health_region_crosswalk,municipality_name,str,False,documented_in_data_dictionary,Municipality name.,Municipality name.,Membership under fixed end-2024 health-region geography.,MDB_ANALYTICAL_2024_2,Membership under fixed end-2024 health-region geography.
municipality_health_region_crosswalk,uf,str,False,documented_in_data_dictionary,Uf.,Uf.,Membership under fixed end-2024 health-region geography.,MDB_ANALYTICAL_2024_2,Membership under fixed end-2024 health-region geography.
municipality_health_region_crosswalk,health_region_code,str,False,documented_in_data_dictionary,Health region code.,Health region code.,Membership under fixed end-2024 health-region geography.,MDB_ANALYTICAL_2024_2,Membership under fixed end-2024 health-region geography.
